"","durmths","ctg","ongoing","idem","tdem","pbal","censor"
"119",1,0,0,10,-7,0.97996997833252,1
"120",1,1,0,-7,-7,0.438710004091263,1
"121",1,1,0,-7,-7,0.922699987888336,1
"122",1,1,0,-1,-1,0.5,1
"123",1,0,0,-5,NA,0.995989978313446,1
"124",1,1,0,-7,8,0.687990009784698,1
"125",1,1,0,4,2,0.721769988536835,1
"126",1,1,0,4,1,0.865869998931885,1
"127",1,0,0,10,NA,0.810720026493073,1
"128",1,1,0,10,7,0.202749997377396,1
"129",1,0,0,-5,9,0.598399996757507,1
"130",1,1,0,-9,-7,0.927760004997253,1
"131",1,1,0,-9,-9,0.978429973125458,1
"132",1,1,0,-9,9,0.328949987888336,1
"133",1,1,0,-9,-9,0.315180003643036,1
"134",1,1,0,4,-9,0.904879987239838,1
"135",1,1,0,-5,10,0.220909997820854,1
"136",1,1,0,NA,-9,0.743960022926331,1
"137",1,1,0,9,-9,0.959010004997253,1
"138",1,0,0,9,-9,0.367579996585846,1
"139",1,0,0,10,4,0.999239981174469,1
"140",1,0,0,-7,6,0.508379995822906,1
"141",1,1,0,-7,NA,0.980199992656708,1
"142",1,1,0,5,-5,0.943139970302582,1
"143",1,1,0,-7,2,0.136130005121231,1
"144",1,1,0,2,-7,0.898000001907349,1
"145",1,0,0,8,-7,0.988529980182648,1
"146",1,1,0,-9,NA,0.58705997467041,1
"147",2,1,0,7,10,0.797249972820282,1
"148",2,0,0,-9,-9,0.525789976119995,1
"149",2,1,0,-2,10,0.913789987564087,1
"150",2,0,0,10,0,0.998070001602173,1
"151",2,1,0,10,-9,0.993300020694733,1
"152",2,0,0,10,10,0.995299994945526,1
"153",2,1,0,-9,-9,0.909089982509613,1
"154",2,0,0,-10,10,0.1596499979496,1
"155",2,0,0,10,NA,NA,1
"156",2,1,0,10,-7,0.537190020084381,1
"157",2,NA,0,NA,-8,NA,1
"158",2,0,0,-7,-9,0.953639984130859,1
"159",2,1,0,-7,-9,0.708790004253387,1
